Meteo,Gioca
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,No
Soleggiato,No
Soleggiato,No
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Piovoso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Piovoso,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,No
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Piovoso,No
Piovoso,No
Nuvoloso,No
Piovoso,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Soleggiato,No
Piovoso,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,Sì
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Piovoso,No
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,Sì
Piovoso,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,No
Piovoso,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Nuvoloso,Sì
Piovoso,Sì
Piovoso,Sì
Soleggiato,No
Piovoso,Sì
Nuvoloso,Sì
Piovoso,No
Piovoso,No
Soleggiato,No
Soleggiato,No
Soleggiato,No
Nuvoloso,Sì
Piovoso,Sì
Piovoso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Piovoso,No
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,No
Soleggiato,No
Soleggiato,No
Piovoso,No
Soleggiato,No
Soleggiato,No
Nuvoloso,No
Piovoso,No
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,No
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Piovoso,No
Soleggiato,Sì
Nuvoloso,No
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,No
Piovoso,No
Piovoso,No
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,No
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,No
Piovoso,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Piovoso,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,No
Piovoso,No
Piovoso,No
Soleggiato,No
Soleggiato,No
Piovoso,No
Nuvoloso,Sì
Piovoso,Sì
Piovoso,No
Piovoso,No
Soleggiato,No
Soleggiato,Sì
Piovoso,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Piovoso,No
Soleggiato,Sì
Nuvoloso,Sì
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Piovoso,No
Piovoso,No
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Piovoso,No
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Soleggiato,No
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Piovoso,No
Nuvoloso,No
Soleggiato,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Piovoso,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Soleggiato,No
Piovoso,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,No
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,No
Piovoso,No
Soleggiato,Sì
Piovoso,No
Piovoso,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Piovoso,Sì
Soleggiato,Sì
Piovoso,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Piovoso,Sì
Nuvoloso,No
Piovoso,Sì
Soleggiato,No
Soleggiato,Sì
Nuvoloso,No
Piovoso,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,Sì
Piovoso,No
Soleggiato,No
Piovoso,Sì
Soleggiato,No
Soleggiato,No
Piovoso,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Piovoso,No
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Soleggiato,No
Soleggiato,No
Piovoso,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Piovoso,Sì
Piovoso,No
Nuvoloso,No
Soleggiato,No
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,No
Piovoso,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,No
Piovoso,No
Soleggiato,Sì
Soleggiato,No
Piovoso,Sì
Soleggiato,No
Piovoso,No
Soleggiato,Sì
Piovoso,No
Soleggiato,No
Piovoso,Sì
Nuvoloso,Sì
Piovoso,No
Soleggiato,No
Nuvoloso,No
Piovoso,No
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Piovoso,Sì
Soleggiato,Sì
Soleggiato,No
Piovoso,Sì
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Piovoso,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Piovoso,No
Nuvoloso,No
Nuvoloso,No
Nuvoloso,No
Piovoso,No
Piovoso,Sì
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Piovoso,No
Piovoso,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,No
Piovoso,Sì
Piovoso,Sì
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Piovoso,Sì
Piovoso,Sì
Piovoso,No
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Piovoso,Sì
Piovoso,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,No
Piovoso,No
Nuvoloso,No
Nuvoloso,No
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Piovoso,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Piovoso,Sì
Piovoso,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,No
Soleggiato,No
Soleggiato,No
Piovoso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,No
Piovoso,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,No
Piovoso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Soleggiato,No
Nuvoloso,No
Nuvoloso,No
Piovoso,Sì
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,No
Piovoso,Sì
Soleggiato,No
Soleggiato,No
Nuvoloso,No
Piovoso,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Soleggiato,No
Piovoso,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Piovoso,Sì
Piovoso,No
Soleggiato,No
Nuvoloso,Sì
Piovoso,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Piovoso,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Piovoso,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,No
Nuvoloso,Sì
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Piovoso,Sì
Soleggiato,Sì
Piovoso,Sì
Soleggiato,Sì
Piovoso,No
Soleggiato,No
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Piovoso,No
Nuvoloso,No
Nuvoloso,No
Nuvoloso,Sì
Piovoso,Sì
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Piovoso,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,Sì
Piovoso,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Piovoso,No
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Piovoso,No
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Piovoso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Nuvoloso,No
Piovoso,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,No
Piovoso,Sì
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Soleggiato,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,No
Piovoso,No
Soleggiato,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,No
Nuvoloso,No
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,No
Soleggiato,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,No
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,No
Soleggiato,No
Soleggiato,No
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,No
Nuvoloso,Sì
Piovoso,Sì
Piovoso,No
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,No
Piovoso,Sì
Soleggiato,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Nuvoloso,No
Piovoso,Sì
Piovoso,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,No
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,No
Piovoso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,Sì
Piovoso,No
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Nuvoloso,No
Soleggiato,No
Soleggiato,No
Soleggiato,Sì
Piovoso,No
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,No
Piovoso,No
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Piovoso,Sì
Piovoso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,No
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Soleggiato,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,No
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Piovoso,No
Nuvoloso,Sì
Soleggiato,Sì
Soleggiato,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,Sì
Nuvoloso,No
Nuvoloso,No
Soleggiato,Sì
Nuvoloso,No
Soleggiato,Sì
Soleggiato,Sì
Nuvoloso,Sì
Nuvoloso,Sì
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,Sì
Piovoso,No
Nuvoloso,No
Nuvoloso,Sì
Soleggiato,No
Nuvoloso,Sì
Soleggiato,No
Soleggiato,No
Piovoso,No
Soleggiato,Sì
Piovoso,Sì
Nuvoloso,Sì
